inter_id,user_id,book_id,borrow_time,还书时间,续借时间,续借次数,source_table
22068,7,13092,2020-10-23 21:29:49,2020-11-1910:07:30,2020-11-1907:56:56,1,table_d
22069,7,13093,2020-10-23 21:29:55,2020-11-1910:07:43,2020-11-1907:57:06,1,table_d
66388,7,37505,2021-03-13 20:28:21,2021-06-1111:08:58,2021-05-1114:21:26,2,table_d
20075,7,11777,2021-05-08 21:57:01,2021-07-0517:30:19,2021-06-0717:12:52,1,table_d
18998,7,11105,2021-05-11 18:33:54,2021-06-0920:58:21,,0,table_d
18997,7,11104,2021-05-11 18:33:59,2021-06-0920:57:08,,0,table_d
18999,7,11106,2021-05-11 18:34:04,2021-06-0920:58:32,2020-10-0507:58:47,0,table_d
20968,7,12347,2021-05-13 21:13:30,2021-07-1419:23:43,2021-07-0516:41:56,2,table_d
20967,7,12346,2021-05-13 21:13:37,2021-07-1419:23:38,2021-07-0516:41:17,2,table_d
20966,7,12341,2021-05-13 21:13:41,2021-07-1419:24:19,2021-07-0516:42:27,2,table_d
22012,7,13048,2021-05-13 21:13:45,2021-07-0517:30:10,2021-06-1109:52:44,1,table_d
20965,7,12345,2021-05-13 21:16:06,2021-07-1419:23:06,2021-07-0516:41:47,2,table_d
20072,7,11719,2021-06-04 21:56:36,2021-06-0920:59:34,,0,table_d
19003,7,11110,2021-06-04 21:56:40,2021-06-0920:57:44,,0,table_d
19000,7,11107,2021-06-04 21:56:44,2021-06-0921:02:07,2021-03-1613:25:45,0,table_d
19001,7,11108,2021-06-04 21:56:51,2021-06-0920:57:30,2021-07-1022:35:20,0,table_d
19004,7,11111,2021-06-04 21:56:54,2021-06-0920:58:55,2024-03-1915:19:52,0,table_d
19002,7,11109,2021-06-04 21:56:59,2021-06-0920:59:14,2021-07-1022:35:29,0,table_d
26767,7,16204,2021-06-09 21:24:03,2021-06-1917:37:19,2024-03-1915:19:55,0,table_d
26783,7,16217,2021-06-09 21:24:10,2021-06-1917:37:34,,0,table_d
22011,7,13051,2021-06-09 21:24:16,2021-06-1917:38:04,2024-03-1915:19:52,0,table_d
26772,7,16209,2021-06-09 21:24:26,2021-06-1917:37:28,,0,table_d
26784,7,16218,2021-06-09 21:24:35,2021-06-1917:37:12,,0,table_d
26782,7,16216,2021-06-19 17:46:17,2021-07-0517:29:55,2021-04-1422:17:55,0,table_d
18363,7,10704,2021-06-19 17:46:25,2021-07-0517:29:47,,0,table_d
20077,7,11779,2021-10-22 17:45:39,2021-11-2311:21:35,2021-11-1514:45:48,1,table_d
20076,7,11778,2021-10-22 17:45:43,2021-10-2421:23:51,2024-03-1915:19:55,0,table_d
20969,7,12348,2021-10-22 17:45:48,2021-10-2421:24:01,2024-03-1915:19:55,0,table_d
53536,7,30915,2021-11-23 11:21:47,2021-12-2518:15:11,2024-03-1915:19:52,0,table_d
39811,7,24520,2022-03-30 16:07:47,2022-06-0411:12:12,2022-05-1623:19:06,1,table_d
18995,7,11102,2022-04-19 19:36:06,2022-06-0411:12:02,2022-05-1623:19:12,1,table_d
20070,7,11773,2022-04-28 21:37:54,2022-06-0411:11:40,2020-10-0507:59:25,0,table_d
31468,12,19540,2020-01-13 21:35:07,2020-08-2608:32:46,,0,table_d
10772,12,6131,2020-01-13 21:35:20,2020-08-2608:32:53,,0,table_d
10771,12,6130,2020-01-13 21:35:37,2020-08-2608:33:00,,0,table_d
30285,12,18671,2020-08-26 11:27:53,2020-09-1911:11:31,,0,table_d
30215,12,18612,2020-08-28 11:35:57,2020-10-1514:47:23,2020-09-2416:13:02,1,table_d
30216,12,18613,2020-08-28 11:36:06,2020-09-2221:32:03,,0,table_d
32493,12,20277,2020-09-25 10:42:30,2020-12-1910:52:09,2020-11-1910:18:56,2,table_d
12617,12,7117,2020-10-18 11:44:40,2020-12-0111:27:01,2020-11-1223:46:02,1,table_d
23700,12,14035,2020-10-18 11:44:44,2020-11-2409:41:32,2020-11-1223:46:00,1,table_d
27000,12,16386,2020-10-18 11:44:48,2021-01-1517:31:32,2020-12-1209:18:10,2,table_d
26999,12,16385,2020-10-18 11:44:52,2021-01-1021:59:32,2020-12-1209:18:08,2,table_d
23163,12,13721,2020-12-12 10:56:41,2021-01-0311:39:37,,0,table_d
16178,12,9434,2020-12-12 10:57:08,2020-12-2011:30:02,,0,table_d
28058,12,17074,2020-12-12 10:57:14,2020-12-1911:16:07,,0,table_d
28057,12,17073,2020-12-12 10:57:20,2020-12-2315:41:15,,0,table_d
10051,12,5826,2020-12-21 17:54:37,2021-01-2216:10:25,2021-01-1514:11:15,1,table_d
69474,12,39495,2020-12-21 17:54:45,2020-12-2611:33:46,,0,table_d
25511,12,15250,2020-12-21 17:56:17,2021-01-0311:39:56,,0,table_d
25017,12,14903,2021-01-03 16:26:51,2021-01-1121:33:15,,0,table_d
27880,12,16951,2021-03-02 21:50:22,2021-05-2811:43:04,2021-04-2621:57:33,2,table_d
8820,12,4980,2021-03-20 08:30:17,2021-04-0118:07:14,2021-01-1608:16:25,0,table_d
27989,12,17034,2021-04-16 10:06:59,2021-07-0411:49:59,2021-06-0810:49:35,2,table_d
26970,12,16365,2021-04-16 10:07:06,2021-06-2321:47:08,2021-06-0810:49:28,2,table_d
6585,12,3670,2021-04-16 10:07:19,2021-06-1321:14:32,2021-05-1523:46:12,1,table_d
27881,12,16952,2021-04-20 16:01:56,2021-06-0722:41:20,2021-05-1523:46:17,1,table_d
27883,12,16954,2021-04-20 16:02:05,2021-06-0421:43:20,2021-05-1523:46:27,1,table_d
27885,12,16956,2021-04-28 21:45:58,2021-05-1518:05:06,,0,table_d
27882,12,16953,2021-04-28 21:46:04,2021-05-1518:05:45,,0,table_d
77607,12,43494,2021-04-29 21:51:31,2021-05-2811:42:43,,0,table_d
23952,12,14208,2021-04-29 21:51:34,2021-05-1518:05:23,2020-10-0921:30:30,0,table_d
27884,12,16955,2021-04-29 21:51:39,2021-05-1518:05:14,2020-10-2021:38:27,0,table_d
24088,12,14302,2021-05-07 11:41:15,2021-06-0408:55:06,2021-01-0521:20:05,0,table_d
27005,12,16392,2021-06-04 09:12:10,2021-06-1120:08:09,2021-01-1608:16:44,0,table_d
27004,12,16390,2021-06-08 12:45:35,2021-06-1317:59:40,,0,table_d
27003,12,16389,2021-06-08 12:45:39,2021-06-1318:00:08,,0,table_d
93999,12,52741,2021-06-08 12:45:47,2021-06-1317:59:59,,0,table_d
26953,12,16352,2021-06-22 16:20:29,2021-06-2221:10:18,2020-10-2021:38:38,0,table_d
26954,12,16353,2021-06-22 16:20:33,2021-06-2221:10:26,2020-10-2021:38:17,0,table_d
26908,12,16321,2021-07-07 11:53:48,2021-10-2020:00:56,2021-10-1117:24:26,1,table_d
26910,12,16323,2021-07-07 11:53:54,2021-10-1317:20:28,2021-10-1022:08:47,0,table_d
27886,12,16957,2021-07-07 11:53:58,2021-10-1610:08:18,2021-01-0521:19:57,0,table_d
27007,12,16391,2021-11-04 18:36:22,2021-12-2012:03:56,2021-11-2408:44:15,1,table_d
27006,12,16393,2021-12-17 09:30:54,2021-12-1712:06:35,2021-10-1022:09:27,0,table_d
8821,12,4981,2022-01-03 11:54:15,2022-03-0112:49:35,2022-02-1514:27:44,1,table_d
27008,12,16394,2022-01-03 11:54:22,2022-01-0416:05:25,,0,table_d
27010,12,16396,2022-01-03 11:54:37,2022-01-0416:05:31,2021-10-1022:08:42,0,table_d
25016,12,14902,2022-02-01 08:31:09,2022-02-2818:30:20,,0,table_d
26998,12,16384,2022-02-06 08:31:06,2022-03-0112:51:50,,0,table_d
44622,12,26763,2022-03-01 16:29:50,2022-03-1009:06:50,,0,table_d
38972,12,24341,2022-03-01 16:29:55,2022-03-2012:26:27,,0,table_d
23396,12,13857,2022-03-01 16:30:00,2022-06-0418:14:47,2022-05-1112:55:44,2,table_d
8157,12,4538,2022-03-07 18:39:36,2022-03-2917:17:39,,0,table_d
26952,12,16351,2022-03-07 18:40:28,2022-06-0416:53:04,2022-05-0522:34:09,2,table_d
14768,12,8479,2022-03-20 15:30:21,2022-05-1213:23:05,,0,table_d
25980,12,15572,2022-04-09 17:10:33,2022-05-0618:35:17,,0,table_d
25982,12,15574,2022-04-09 17:10:38,2022-04-1511:32:16,,0,table_d
24171,12,14353,2022-04-14 15:37:11,2022-05-1717:31:35,2022-05-1112:55:41,1,table_d
83688,12,46782,2022-04-17 13:41:51,2022-06-2021:12:03,2022-05-1600:09:30,1,table_d
25979,12,15571,2022-04-18 17:07:27,2022-05-1113:00:18,,0,table_d
23951,12,14207,2022-04-18 17:07:32,2022-05-0915:42:29,,0,table_d
65326,12,36796,2022-04-29 15:42:40,2022-05-1213:23:13,,0,table_d
6584,12,3669,2022-05-05 17:58:56,2022-06-1512:14:23,2022-06-0311:39:43,1,table_d
45147,12,27104,2022-05-12 13:31:25,2022-06-0916:24:41,,0,table_d
10226,13,5924,2020-01-03 17:49:21,2020-09-1019:31:52,2021-11-1214:01:25,0,table_d
10230,13,5928,2020-01-03 17:49:29,2020-09-1019:31:17,,0,table_d
10227,13,5925,2020-01-03 17:49:35,2020-09-1019:30:37,,0,table_d
10774,13,6133,2020-01-09 17:11:58,2020-09-1019:29:39,2021-11-1213:59:41,0,table_d
10229,13,5927,2020-01-09 17:12:19,2020-09-1019:29:46,,0,table_d
10228,13,5926,2020-01-11 18:40:07,2020-09-1019:31:23,,0,table_d
10231,13,5929,2020-01-14 10:37:11,2020-09-0214:20:14,,0,table_d
10232,13,5930,2020-01-14 10:37:34,2020-09-1110:31:57,,0,table_d
