inter_id,user_id,book_id,borrow_time,还书时间,续借时间,续借次数,source_table
2347,3,1360,2020-09-01 17:05:34,2020-10-1609:05:34,2022-12-0921:10:01,0,table_c
97981,3,41924,2020-09-06 12:04:29,2020-09-1909:13:56,,0,table_d
97982,3,55090,2020-09-06 12:04:33,2020-09-1909:14:06,,0,table_c
31781,3,19775,2020-09-27 16:03:06,2020-12-1514:50:52,2020-11-2221:33:50,2,table_c
31782,3,19776,2020-09-27 16:03:12,2020-12-1514:50:58,2020-11-2221:33:52,2,table_c
93996,3,52738,2020-10-16 09:38:38,2020-11-2221:30:27,2020-11-0512:37:49,1,table_c
93997,3,52739,2020-10-16 09:38:46,2020-11-2221:30:06,2020-11-0512:38:00,1,table_c
93998,3,52740,2020-10-16 09:38:51,2020-11-2221:30:19,2020-11-0512:37:44,1,table_c
81960,3,45621,2020-10-22 17:47:39,2020-11-2221:29:08,,0,table_c
81959,3,45620,2020-10-22 17:47:43,2020-11-2221:28:56,2022-11-2810:05:26,0,table_c
81361,3,32239,2020-11-08 17:02:42,2020-11-0920:59:19,,0,table_d
81961,3,45621,2020-11-22 21:29:23,2021-01-0718:36:53,2020-12-1512:34:25,1,table_c
81962,3,45619,2020-11-22 21:29:25,2021-01-0718:36:42,2020-12-1512:34:28,1,table_c
81963,3,45620,2020-11-22 21:29:31,2021-01-0718:36:35,2020-12-1512:34:20,1,table_c
37686,3,30640,2020-11-25 17:46:17,2021-03-1512:18:21,2021-01-1620:21:36,2,table_d
81359,3,45336,2020-11-25 17:46:23,2020-11-2910:07:18,,0,table_c
81358,3,46895,2020-11-25 17:46:29,2021-03-0716:29:08,2021-01-1620:21:35,2,table_d
81360,3,45337,2020-11-25 17:46:35,2020-11-2910:07:10,2024-09-1415:51:50,0,table_c
97749,3,54932,2020-11-28 21:13:55,2020-12-0515:29:16,,0,table_c
97746,3,54929,2020-11-28 21:14:02,2020-12-0515:29:26,,0,table_c
97750,3,54933,2020-11-28 21:14:06,2021-03-0716:28:47,2020-12-2319:02:48,1,table_c
81555,3,45439,2020-11-28 21:14:19,2021-03-0716:29:01,2020-12-2319:02:44,1,table_c
81556,3,45440,2020-11-28 21:14:24,2021-03-0716:29:22,2020-12-2319:02:42,1,table_c
81552,3,41341,2020-11-28 21:14:34,2021-03-0716:28:54,2020-12-2319:02:45,1,table_d
97747,3,30649,2020-12-16 20:46:26,2021-03-0716:29:52,2021-01-0813:00:55,1,table_d
97752,3,54935,2020-12-16 20:46:32,2021-03-0716:28:40,2021-01-0813:00:50,1,table_c
97748,3,45658,2020-12-16 20:46:37,2021-03-0716:28:31,2021-01-0813:00:57,1,table_d
97745,3,33168,2020-12-16 20:46:44,2021-03-0716:29:15,2021-01-0813:00:48,1,table_d
97751,3,54934,2020-12-16 20:46:49,2021-03-0716:30:06,2021-01-0813:00:47,1,table_c
81554,3,45438,2020-12-23 09:57:00,2021-03-0716:29:44,2021-01-1620:21:30,1,table_c
81553,3,45437,2020-12-23 09:57:11,2020-12-2311:11:41,,0,table_c
81557,3,45441,2020-12-23 09:57:32,2021-03-0716:29:29,2021-01-1620:21:28,1,table_c
81558,3,45442,2020-12-23 09:57:48,2021-03-0716:29:37,2021-01-1620:21:31,1,table_c
2348,3,1361,2021-01-07 18:53:35,2021-05-1815:15:45,2021-04-1218:39:28,2,table_c
1855,3,24185,2021-01-07 18:53:39,2021-05-1815:15:12,2021-04-1218:39:29,2,table_d
2681,3,1563,2021-01-07 18:53:41,2021-05-1815:15:06,2021-04-1218:39:37,2,table_c
35372,3,22251,2021-01-11 20:12:52,2021-05-2017:02:09,2021-04-1218:39:31,2,table_c
81879,3,45587,2021-03-19 11:34:22,2021-06-1121:36:16,2021-05-1809:23:35,2,table_c
81880,3,45588,2021-03-19 11:34:28,2021-06-1121:36:39,2021-05-1809:23:38,2,table_c
55745,3,31601,2021-03-25 11:59:28,2021-04-2719:14:15,,0,table_c
87986,3,49459,2021-04-07 19:28:09,2021-05-1408:09:37,2021-05-0309:45:05,1,table_c
88016,3,49473,2021-04-07 19:28:14,2021-06-1121:36:31,2021-05-0309:45:09,1,table_c
88015,3,49472,2021-04-07 19:28:18,2021-06-1121:36:23,2021-05-0309:45:07,1,table_c
87985,3,49459,2021-05-14 08:09:39,2021-05-1408:10:26,,0,table_c
88102,3,49531,2021-06-05 12:35:31,2021-08-2815:36:56,2021-07-2509:58:22,2,table_c
81881,3,10062,2021-06-23 10:49:58,2021-11-1519:20:45,2021-10-1113:57:55,2,table_d
79363,3,44320,2021-07-02 11:04:26,2021-11-1310:23:34,2021-10-1113:58:08,2,table_c
80942,3,45128,2021-07-02 11:04:31,2021-11-1310:23:48,2021-10-1113:58:01,2,table_c
80944,3,13607,2021-07-02 11:04:37,2021-11-1310:23:43,2021-10-1113:57:59,2,table_d
81189,3,45254,2021-07-02 11:04:41,2021-11-1519:20:59,2021-10-1113:58:05,2,table_c
81188,3,45253,2021-07-02 11:04:45,2021-11-1519:20:54,2021-10-1113:58:03,2,table_c
80126,3,44716,2021-10-12 09:23:37,2022-02-2209:37:46,2021-12-0916:06:16,2,table_c
81878,3,45586,2021-11-12 14:38:35,2022-02-2209:37:37,2021-12-0916:06:20,1,table_c
76455,3,43013,2021-12-12 12:28:46,2022-02-1612:30:15,,0,table_c
81883,3,42587,2021-12-13 16:47:15,2022-02-2312:13:14,,0,table_d
80943,3,42325,2021-12-17 20:48:55,2022-02-1612:30:06,2023-10-2908:30:20,0,table_d
67232,3,38054,2022-01-08 16:45:27,2022-02-1809:46:16,2022-12-1213:06:05,0,table_c
55744,3,31602,2022-01-08 16:45:32,2022-05-2018:42:22,2022-03-1817:12:34,2,table_c
51384,3,45425,2022-02-16 20:46:35,2022-02-2811:54:31,2023-02-1609:12:05,0,table_d
80940,3,45126,2022-03-04 17:36:25,2022-04-0111:57:13,2022-05-2116:11:06,1,table_c
80936,3,45120,2022-03-06 11:00:00,2022-05-0920:45:38,2022-04-0311:57:20,1,table_c
57146,3,32120,2022-03-09 11:47:52,2022-04-0916:39:43,2022-04-0311:57:25,1,table_c
87805,3,49378,2022-03-10 20:25:43,2022-03-1411:11:07,,0,table_c
1854,3,1065,2022-03-23 19:55:50,2022-04-0916:39:51,2023-02-1609:12:15,0,table_c
80938,3,45125,2022-03-24 10:34:29,2022-04-0916:40:17,,0,table_c
80935,3,45123,2022-03-26 19:27:24,2022-06-2116:02:26,2022-05-1217:37:14,1,table_c
80934,3,45122,2022-03-26 19:27:27,2022-04-0916:40:52,2021-12-1808:31:31,0,table_c
47076,3,54279,2022-03-26 20:04:17,2022-04-0916:40:06,,0,table_d
57147,3,45646,2022-03-29 16:09:20,2022-04-0311:09:38,2022-12-1213:06:02,0,table_d
80937,3,45124,2022-03-29 16:09:25,2022-06-2016:14:59,2022-05-1217:36:27,1,table_c
80945,3,45131,2022-03-29 16:09:29,2022-06-2016:15:28,2022-05-1621:36:31,1,table_c
